round_number,draw_date,n3_winning,n4_winning,n3_rehearsal,n4_rehearsal
5849,2024-03-06,245,1743,453,3445
5850,2024-03-07,858,3582,849,5613
5851,2024-03-08,365,7399,137,7613
5852,2024-03-09,486,8544,129,9915
5853,2024-03-10,069,0807,130,5886
5854,2024-03-11,692,9715,247,0319
5855,2024-03-12,553,4205,087,5280
5856,2024-03-13,737,4559,688,9822
5857,2024-03-14,131,4709,161,6696
5858,2024-03-15,394,0709,659,1719
5859,2024-03-16,917,8176,927,6112
5860,2023-02-21,201,8638,503,9760
5861,2024-03-18,698,7731,373,6245
5862,2024-03-19,758,6768,346,5226
5863,2024-03-20,906,5711,941,3460
5864,2024-03-21,372,1627,084,6692
5865,2024-03-22,387,4892,598,3216
5866,2024-03-23,946,0903,772,8483
5867,2024-03-24,529,2881,793,8918
5868,2024-03-25,118,4199,308,3659
5869,2024-03-26,330,5635,681,6536
5870,2024-03-27,739,9024,357,6327
5871,2024-03-28,597,0855,638,0476
5872,2024-03-29,207,0383,652,2102
5873,2024-03-30,607,4363,201,9131
5874,2024-03-31,988,5046,708,1950
5875,2024-04-01,995,3429,649,6288
5876,2024-04-02,355,2162,098,8100
5877,2024-04-03,125,3052,789,5160
5878,2024-04-04,372,5602,029,0969
5879,2024-04-05,160,3383,836,0352
5880,2024-04-06,839,0007,248,6695
5881,2024-04-07,094,5872,583,9456
5882,2024-04-08,138,9432,702,6587
5883,2024-04-09,355,8377,770,6483
5884,2024-04-10,008,8255,711,5408
5885,2024-04-11,577,8577,497,3868
5886,2024-04-12,888,1292,089,7573
5887,2024-04-13,973,3418,053,4620
5888,2024-04-14,280,9510,584,1072
5889,2024-04-15,494,2334,831,9350
5890,2024-04-16,719,5685,412,4344
5891,2024-04-17,098,5922,008,3503
5892,2024-04-18,991,0010,147,3585
5893,2024-04-19,481,8108,070,6492
5894,2024-04-20,520,5632,185,7539
5895,2024-04-21,811,3289,692,9067
5896,2024-04-22,951,1554,745,9008
5897,2024-04-23,358,4803,484,9167
5898,2024-04-24,463,5279,098,0146
5899,2024-04-25,735,3365,934,0892
5900,2024-04-26,907,1990,653,4557
5901,2024-04-27,432,3591,732,2618
5902,2024-04-28,493,8432,997,9943
5903,2024-04-29,348,8726,275,9789
5904,2024-04-30,516,5692,288,1154
5905,2024-05-01,920,6992,494,2621
5906,2024-05-02,790,6774,189,2660
5907,2024-05-03,552,1763,323,5849
5908,2024-05-04,805,3913,677,5449
5909,2024-05-05,567,7733,239,5473
5910,2024-05-06,798,1346,154,4738
5911,2024-05-07,529,4844,279,9595
5912,2024-05-08,133,4218,909,6177
5913,2024-05-09,428,8984,082,9861
5914,2024-05-10,028,8432,869,8785
5915,2024-05-11,959,1378,521,9125
5916,2024-05-12,928,1188,277,7708
5917,2024-05-13,943,7738,845,2643
5918,2024-05-14,515,4909,099,6109
5919,2024-05-15,522,0036,324,6025
5920,2024-05-16,733,0389,971,6773
5921,2024-05-17,194,7136,750,1323
5922,2024-05-18,060,7000,328,9157
5923,2024-05-19,106,8986,788,8854
5924,2024-05-20,922,9094,279,0961
5925,2024-05-21,622,1858,157,2132
5926,2024-05-22,683,0896,194,2596
5927,2024-05-23,391,7495,155,2334
5928,2024-05-24,338,0479,600,2499
5929,2024-05-25,882,3221,892,4397
5930,2024-05-26,859,7844,654,5018
5931,2024-05-27,451,1026,145,2086
5932,2024-05-28,950,2025,192,3536
5933,2024-05-29,124,6481,138,7097
5934,2024-05-30,162,8635,210,6504
5935,2024-05-31,040,9970,872,8568
5936,2024-06-01,193,7005,766,4220
5937,2024-06-02,696,0966,734,3358
5938,2024-06-03,939,6230,052,0186
5939,2024-06-04,183,6399,927,8503
5940,2024-06-05,621,1629,846,2870
5941,2024-06-06,226,9545,430,9958
5942,2024-06-07,468,0139,697,1046
5943,2024-06-08,985,7113,485,3260
5944,2024-06-09,394,5222,332,4676
5945,2024-06-10,655,8977,589,4774
5946,2024-06-11,529,7127,649,6352
